Sample,Protein,Total Area
c2b3_7-R2,sp|Q6F7B8|ACR1_ACIAD,913
c2b3_7-R2,tr|A1U2T0|A1U2T0_MARHV,3757
c2b3_7-R2,tr|A1U3L3|A1U3L3_MARHV,762785
c2b3_7-R3,sp|P27250|AHR_ECOLI,2749
c2b3_7-R3,sp|P69451|LCFA_ECOLI,159436
c2b3_7-R3,sp|Q41635|FATB_UMBCA,129435
c2b3_7-R3,sp|Q6F7B8|ACR1_ACIAD,0
c2b3_7-R3,tr|A1U2T0|A1U2T0_MARHV,0
c2b3_7-R3,tr|A1U3L3|A1U3L3_MARHV,748479
c2b3_8-R1,sp|P27250|AHR_ECOLI,4451
c2b3_8-R1,sp|P69451|LCFA_ECOLI,59017
c2b3_8-R1,sp|Q41635|FATB_UMBCA,159594
c2b3_8-R1,sp|Q6F7B8|ACR1_ACIAD,3173
c2b3_8-R1,tr|A1U2T0|A1U2T0_MARHV,3755
c2b3_8-R1,tr|A1U3L3|A1U3L3_MARHV,374118
c2b3_8-R2,sp|P27250|AHR_ECOLI,4519
c2b3_8-R2,sp|P69451|LCFA_ECOLI,55927
c2b3_8-R2,sp|Q41635|FATB_UMBCA,158787
c2b3_8-R2,sp|Q6F7B8|ACR1_ACIAD,0
c2b3_8-R2,tr|A1U2T0|A1U2T0_MARHV,537
c2b3_8-R2,tr|A1U3L3|A1U3L3_MARHV,354072
c2b3_8-R3,sp|P27250|AHR_ECOLI,4199
c2b3_8-R3,sp|P69451|LCFA_ECOLI,54802
c2b3_8-R3,sp|Q41635|FATB_UMBCA,149067
c2b3_8-R3,sp|Q6F7B8|ACR1_ACIAD,4400
c2b3_8-R3,tr|A1U2T0|A1U2T0_MARHV,598
c2b3_8-R3,tr|A1U3L3|A1U3L3_MARHV,326229
