Study ID,Study Name,Study Contact,Line ID,Line Name,Control,Strain,Carbon Source,Carbon Labeling,Line Experimenter,Line Contact,Media,Protocol ID,Protocol Name,Assay ID,Assay Name,Measurement Type,Compartment,Measurement Updated,X Units,Y Units,0.0,27.0
47082,Ajinomoto Cycle 1,,47171,b3-13-2,F,JBEI-17807,2% Glucose,100% unlabeled,,,M9-MOPS,1941,Targeted Proteomics,48262,b3-13-2,FATB_UMBCA,,2017-09-06 22:22:19.954988+00:00,hours,,218624.0,
47082,Ajinomoto Cycle 1,,47169,b3-10-3,F,JBEI-17798,2% Glucose,100% unlabeled,,,M9-MOPS,1941,Targeted Proteomics,48260,b3-10-3,FATB_UMBCA,,2017-09-06 22:22:19.547735+00:00,hours,,74197.0,
47082,Ajinomoto Cycle 1,,47162,b3-06-2,F,JBEI-17801,2% Glucose,100% unlabeled,,,M9-MOPS,1941,Targeted Proteomics,48250,b3-06-2,A1U2T0_MARHV,,2017-09-06 22:22:17.672399+00:00,hours,,424.0,
47082,Ajinomoto Cycle 1,,47170,b3-13-1,F,JBEI-17807,2% Glucose,100% unlabeled,,,M9-MOPS,1941,Targeted Proteomics,48261,b3-13-1,FATB_UMBCA,,2017-09-06 22:22:19.751328+00:00,hours,,210505.0,
47082,Ajinomoto Cycle 1,,47169,b3-10-3,F,JBEI-17798,2% Glucose,100% unlabeled,,,M9-MOPS,1941,Targeted Proteomics,48260,b3-10-3,LCFA_ECOLI,,2017-09-06 22:22:19.514532+00:00,hours,,100254.0,
47082,Ajinomoto Cycle 1,,47195,b3-08-2,F,JBEI-17791,2% Glucose,100% unlabeled,,,M9-MOPS,1941,Targeted Proteomics,48256,b3-08-2,FATB_UMBCA,,2017-09-06 22:22:18.745751+00:00,hours,,107000.0,
47082,Ajinomoto Cycle 1,,47167,b3-10-1,F,JBEI-17798,2% Glucose,100% unlabeled,,,M9-MOPS,1941,Targeted Proteomics,48258,b3-10-1,FATB_UMBCA,,2017-09-06 22:22:19.141233+00:00,hours,,77657.0,
47082,Ajinomoto Cycle 1,,47201,b3-9017-2,F,JBEI-9017,2% Glucose,100% unlabeled,,,M9-MOPS,1941,Targeted Proteomics,48280,b3-9017-2,A1U2T0_MARHV,,2017-09-06 22:22:23.799483+00:00,hours,,849827.0,
47082,Ajinomoto Cycle 1,,47168,b3-10-2,F,JBEI-17798,2% Glucose,100% unlabeled,,,M9-MOPS,1941,Targeted Proteomics,48259,b3-10-2,FATB_UMBCA,,2017-09-06 22:22:19.347629+00:00,hours,,74213.0,
47082,Ajinomoto Cycle 1,,47167,b3-10-1,F,JBEI-17798,2% Glucose,100% unlabeled,,,M9-MOPS,1941,Targeted Proteomics,48258,b3-10-1,LCFA_ECOLI,,2017-09-06 22:22:19.108572+00:00,hours,,106078.0,
